apartment_id,rooms,floor_min,floor_max,num_levels,interior_area_sqm,balcony_area_sqm,balcony_direction,directions,parking_count,storage_area_sqm,garden_area_sqm,roof_area_sqm,is_top_floor,property_type,historical_base_price,historical_base_price_per_sqm,current_market_price,current_market_price_per_sqm,historical_weight,current_market_weight,historical_contribution,current_market_contribution,recommended_marketing_price,recommended_marketing_price_per_sqm,historical_model_version,current_market_model_version,current_market_data_type,company_positioning_adjustment_pct,sales_phase_adjustment_pct,inventory_strategy_adjustment_pct,manual_adjustment_pct,manual_adjustment_amount,strategy_note,total_strategy_adjustment_pct,final_strategy_price,final_strategy_price_per_sqm,pricing_status
11,5,2,2,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,7190167.267119796,64717.97720179835,9969762.287389144,89736.8342699293,0.7,0.3,5033117.086983857,2990928.686216743,8024045.7732005995,72223.63432223762,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,7863564.8577365875,70779.16163579287,priced
12,3,3,3,1,69.0,12.0,South-West,,1,4.0,0.0,0.0,False,regular,4671581.374076141,67704.07788516146,6200228.826801076,89858.38879421848,0.7,0.3,3270106.9618532984,1860068.6480403226,5130175.609893621,74350.37115787856,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5027572.097695748,72863.36373472099,priced
13,3,3,3,1,69.0,12.0,West,,1,4.0,0.0,0.0,False,regular,4671581.374076141,67704.07788516146,6110863.058329055,88563.23272940659,0.7,0.3,3270106.9618532984,1833258.9174987164,5103365.8793520145,73961.82433843499,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5001298.561764974,72482.58785166629,priced
14,3,3,3,1,69.0,12.0,North-West,,1,4.0,0.0,0.0,False,regular,4671581.374076141,67704.07788516146,5991732.168658777,86836.69809650401,0.7,0.3,3270106.9618532984,1797519.650597633,5067626.612450931,73443.86394856422,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4966274.080201913,71974.98666959294,priced
15,5,3,3,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,7357161.7370645,66221.07774135465,9532836.867002968,85804.11221424813,0.7,0.3,5150013.21594515,2859851.06010089,8009864.27604604,72095.98808322268,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,7849666.990525119,70654.06832155822,priced
16,3,4,4,1,69.0,12.0,North-East,,1,4.0,0.0,0.0,False,regular,4838575.844020846,70124.28759450502,6061497.987596154,87847.79692168339,0.7,0.3,3387003.0908145923,1818449.3962788463,5205452.487093438,75441.34039265853,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5101343.4373515695,73932.51358480536,priced
17,3,4,4,1,69.0,12.0,East,מזרח,1,4.0,0.0,0.0,False,regular,4838575.844020846,70124.28759450502,6363719.914164739,92227.82484296722,0.7,0.3,3387003.0908145923,1909115.9742494216,5296119.065064014,76755.34876904367,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5190196.683762734,75220.2417936628,priced
18,3,4,4,1,69.0,12.0,South-East,מערב,1,4.0,0.0,0.0,False,regular,4838575.844020846,70124.28759450502,6352112.810301099,92059.60594639274,0.7,0.3,3387003.0908145923,1905633.8430903296,5292636.933904922,76704.88310007133,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5186784.195226823,75170.7854380699,priced
19,5,4,4,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,7524156.207009205,67724.17828091094,10025863.131446656,90241.79236225614,0.7,0.3,5266909.344906443,3007758.9394339966,8274668.284340439,74479.46250531448,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,8109174.918653631,72989.87325520821,priced
20,3,5,5,1,69.0,12.0,South-West,מזרח,1,4.0,0.0,0.0,False,regular,5005570.313965551,72544.49730384856,6256329.670858588,90671.44450519692,0.7,0.3,3503899.2197758853,1876898.9012575764,5380798.121033462,77982.58146425307,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5273182.158612792,76422.929834968,priced
21,3,5,5,1,69.0,12.0,West,,1,4.0,0.0,0.0,False,regular,5005570.313965551,72544.49730384856,6166963.902386568,89376.28844038503,0.7,0.3,3503899.2197758853,1850089.1707159702,5353988.390491855,77594.0346448095,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5246908.622682018,76042.15395191331,priced
22,3,5,5,1,69.0,12.0,North-West,מערב,1,4.0,0.0,0.0,False,regular,5005570.313965551,72544.49730384856,6047833.01271629,87649.75380748246,0.7,0.3,3503899.2197758853,1814349.903814887,5318249.123590772,77076.07425493872,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5211884.141118957,75534.55276983995,priced
23,5,5,5,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,7691150.67695391,69227.27882046724,9588937.711060483,86309.07030657501,0.7,0.3,5383805.473867737,2876681.313318145,8260486.787185881,74351.81626629956,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,8095277.051442163,72864.77994097357,priced
24,3,6,6,1,69.0,12.0,North-East,מזרח,1,4.0,0.0,0.0,False,regular,5172564.783910255,74964.7070131921,6117598.831653668,88660.85263266184,0.7,0.3,3620795.3487371784,1835279.6494961001,5456074.998233278,79073.55069903302,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5346953.498268613,77492.07968505236,priced
25,3,6,6,1,69.0,12.0,East,,1,4.0,0.0,0.0,False,regular,5172564.783910255,74964.7070131921,6419820.758222252,93040.88055394568,0.7,0.3,3620795.3487371784,1925946.2274666755,5546741.576203854,80387.55907541818,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5435806.744679777,78779.8078939098,priced
26,3,6,6,1,69.0,12.0,South-East,מערב,1,4.0,0.0,0.0,False,regular,5172564.783910255,74964.7070131921,6408213.654358612,92872.6616573712,0.7,0.3,3620795.3487371784,1922464.0963075836,5543259.4450447615,80337.09340644581,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5432394.256143866,78730.3515383169,priced
27,5,6,6,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,7858145.146898614,70730.37936002354,10081963.975504171,90746.750454583,0.7,0.3,5500701.60282903,3024589.1926512513,8525290.795480281,76735.29068839137,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,8354784.979570676,75200.58487462354,priced
28,3,7,7,1,69.0,12.0,South-West,,1,4.0,0.0,0.0,False,regular,5339559.253854959,77384.91672253564,6312430.5149161015,91484.50021617538,0.7,0.3,3737691.4776984714,1893729.1544748303,5631420.632173302,81614.79177062756,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5518792.2195298355,79982.495935215,priced
29,3,7,7,1,69.0,12.0,West,,1,4.0,0.0,0.0,False,regular,5339559.253854959,77384.91672253564,6223064.746444081,90189.34415136349,0.7,0.3,3737691.4776984714,1866919.4239332243,5604610.901631696,81226.244951184,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5492518.683599062,79601.72005216032,priced
30,3,7,7,1,69.0,12.0,North-West,מערב,1,4.0,0.0,0.0,False,regular,5339559.253854959,77384.91672253564,6103933.856773803,88462.80951846091,0.7,0.3,3737691.4776984714,1831180.1570321408,5568871.634730612,80708.28456131322,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5457494.202036,79094.11887008695,priced
31,5,7,7,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,8025139.616843319,72233.47989957983,9645038.555117995,86814.02839890185,0.7,0.3,5617597.731790323,2893511.5665353984,8511109.298325721,76607.64444937643,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,8340887.112359206,75075.4915603889,priced
32,3,8,8,1,69.0,12.0,North-East,,1,4.0,0.0,0.0,False,regular,5506553.7237996645,79805.1264318792,6173699.675711181,89473.9083436403,0.7,0.3,3854587.606659765,1852109.9027133542,5706697.509373119,82705.76100540752,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5592563.559185657,81051.64578529938,priced
33,3,8,8,1,69.0,12.0,East,,1,4.0,0.0,0.0,False,regular,5506553.7237996645,79805.1264318792,6475921.602279765,93853.93626492412,0.7,0.3,3854587.606659765,1942776.4806839293,5797364.087343695,84019.76938179268,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5681416.805596821,82339.37399415682,priced
34,3,8,8,1,69.0,12.0,South-East,,1,4.0,0.0,0.0,False,regular,5506553.7237996645,79805.1264318792,6464314.498416126,93685.71736834965,0.7,0.3,3854587.606659765,1939294.3495248377,5793881.956184602,83969.30371282033,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5678004.31706091,82289.91763856391,priced
35,5,8,8,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,8192134.086788024,73736.58043913613,10138064.819561683,91251.70854690984,0.7,0.3,5734493.860751617,3041419.4458685047,8775913.306620121,78991.11887146824,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,8600395.040487718,77411.29649403886,priced
36,6,9,11,3,255.2,94.6,South-West,מזרח,2,8.0,0.0,76.6,True,triplex,17421364.54085964,68265.53503471646,23716211.177715924,92931.86198164547,0.7,0.3,12194955.178601747,7114863.353314777,19309818.531916525,75665.43311879516,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,18923622.161278196,74152.12445641926,priced
37,6,9,11,3,260.1,97.4,West,מערב,2,8.0,0.0,78.0,True,triplex,17728762.220119298,68161.33110388041,24062814.026935373,92513.70252570308,0.7,0.3,12410133.554083508,7218844.208080611,19628977.76216412,75467.0425304272,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,19236398.206920836,73957.70167981867,priced
38,7,9,10,2,170.1,39.6,North-West,מערב,2,8.0,0.0,51.0,False,duplex,12104917.242065609,71163.53463883368,15015372.502642047,88273.79484210492,0.7,0.3,8473442.069445925,4504611.750792614,12978053.820238538,76296.61269981504,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,12718492.743833767,74770.68044581874,priced
39,5,9,10,2,158.6,39.6,North,,2,8.0,0.0,47.6,False,duplex,11339004.018943656,71494.3506869083,13933792.47523753,87854.9336395809,0.7,0.3,7937302.813260559,4180137.742571259,12117440.555831818,76402.52557271007,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,11875091.744715182,74874.47506125589,priced
